frame,x,y,z,roll_deg,pitch_deg,yaw_deg
0,0.0,0.0,0.0,0.0,-0.0,0.0
1,-0.0006603288881641391,-2.1942345005184294e-05,-4.096656043991097e-05,0.002534365517829648,-0.002303909617567205,0.00030535730958875814
2,-0.0011935197395639358,7.05720446285569e-05,-0.00021013379751658285,-0.0005953517781663298,0.0010475733406351895,-0.0007000220167381769
3,-0.00030048353307037705,0.00022637796156830338,-0.00026302093527812034,-0.002731364463248658,0.0008427841037556186,-0.0035827048074483143
4,-0.00034894294019681947,0.0008166655361258775,-3.4268832166003184e-05,-0.0017782180665549072,0.0006083327375887747,-0.006772503782332494
5,-0.0005744351319377317,0.0009082157802387062,-0.00038793667978785163,0.0027716154103086736,-0.003234959164570245,-0.005410415531761199
6,-0.0007006421640639491,0.0011015832573013748,-0.00038002328250889974,-0.0038636050692357777,-0.007490307601918735,-0.0026291372804664362
7,-0.000260213556813042,0.0008267118246250209,-0.0003699763055005595,0.005858901564837131,-0.0009635927539940019,-0.006697723472321488
8,0.0005171738540410716,0.0013652572606791152,-0.0006331708160805617,0.01752424743924467,0.0007222543222491089,-0.0009866597928108933
9,0.004322836097017713,0.0010265496083258355,-0.00041905523082582795,0.01589311795329889,0.00745325546393868,-0.9357795928920715
10,0.005232048827589753,-0.0017843069290451668,-0.0006663265485944268,0.01562612241313523,0.017129840712584773,-3.3525491254343125
11,0.005149769518954726,-0.004721596663759616,-0.0006792325135837315,0.007618056047440663,0.009477432685959722,-5.789424812973136
12,0.005560024765850722,-0.007467829324168123,-0.0010586836368024766,0.005129825572862503,0.017871723600122277,-8.239399293747315
13,0.004952685088643108,-0.010244037895352096,-0.00071589247144634,-0.020762917211566513,0.020887903640499778,-10.686163418914298
14,0.002703103592084652,-0.01301527664257927,-0.0008529512171301863,-0.03302887693306414,0.026740569071263882,-13.206311661598217
15,-0.00038716174533463864,-0.01732112796804589,-0.0008739206622568,-0.046172062280971836,0.022927774766814,-15.699608608918023
16,-8.790594111004113e-05,-0.02009757565790336,-0.0007415513470505486,-0.05822058191916202,0.03117192938537035,-18.205004919422592
17,-0.0023869767672598415,-0.02310317544607994,-0.0003438296970574375,-0.06951339827751729,0.022814379828813725,-20.69363041511394
18,-0.0027831763547009314,-0.02507759368352768,-0.00027827549371295515,-0.07724182908481284,0.034932964979138115,-23.23930406034493
19,-0.005086778672564934,-0.027294180417356564,-0.000541424263445699,-0.07487503723622019,0.025154078180309732,-25.72927966852323
20,-0.005500343694234938,-0.03012655697960799,-0.00026964680688918515,-0.08834480501511906,0.03735190630184556,-28.247028302448378
21,-0.007038762020268184,-0.03234524569844888,-0.00028006403226343645,-0.0892196983041036,0.02673041013037781,-30.726148400560064
22,-0.007584358931055493,-0.03570170498138196,0.000204166662692938,-0.10042730662099802,0.04506850315033721,-33.236387397695225
23,-0.009574495382282734,-0.03763071842396126,3.497766395277709e-05,-0.09788710361211081,0.035786254915501865,-35.681580664637885
24,-0.010577282014068564,-0.03950587073568807,0.0005796078099107641,-0.10669120163449228,0.049483771818189685,-38.20196922128636
25,-0.012818744768056929,-0.04056526260076181,0.0003464283115395198,-0.11022271338758301,0.040080036026682864,-40.676459500286036
26,-0.013450182675762045,-0.04226627569346206,0.0005627361020461821,-0.11418905985218185,0.05210543130228122,-43.20637110284028
27,-0.013818741279691819,-0.042678556536372564,0.0004572812468431007,-0.12164756206021975,0.04743335597085167,-45.71039019705637
28,-0.014088063848803544,-0.04407044638361574,0.0008626602057698324,-0.12751842320877835,0.04766152554078875,-48.25140473930867
29,-0.015907383342034724,-0.0433204944951722,0.0005582183526896276,-0.1271267274438741,0.021872873685423365,-50.73865730466505
30,-0.018004442573987724,-0.046164759914828706,0.0008467035785913574,-0.13121413749792205,0.033166252913041615,-53.29080407559086
31,-0.02039796679478588,-0.04729549352151866,0.0005386662971122819,-0.1275131514508161,-0.003736891901996705,-55.81405898580213
32,-0.02261275386691211,-0.05034091111456545,0.000822163430164772,-0.12374953640563463,-2.756755029545136e-05,-58.33702598214356
33,-0.025187273648617847,-0.05220941024727797,0.0005162033220717473,-0.1265517565978931,-0.023199167553276355,-60.83228795905908
34,-0.028448612609053264,-0.05491158500666309,0.0008525268400098866,-0.12335023100777938,-0.018204622390751077,-63.39261711261661
35,-0.031655988539634,-0.056707925435207904,0.00010322654378970683,-0.12698737532795482,-0.03573818985995919,-65.90258921597783
36,-0.03527763349108339,-0.060282717338643904,0.000576123881363099,-0.12050400180785963,-0.031059637807024774,-68.49963062046623
37,-0.03770096198315593,-0.061256216323222354,0.00022493187588552323,-0.12611715218727357,-0.052708542248727855,-70.95212440469503
38,-0.039622849718794914,-0.06354101405435111,0.0004245044708343534,-0.12025279637026479,-0.037346947752629374,-73.47389930452344
39,-0.041767303912715055,-0.06482945466168151,-0.0003472240373457358,-0.12829253108962727,-0.05672209012337547,-75.90226923363656
40,-0.044200135452143414,-0.06629173166876612,-0.0003608529314576091,-0.11842461226433955,-0.03739749343707568,-78.39443923884694
