frame,x,y,z,roll_deg,pitch_deg,yaw_deg
0,0.0,0.0,0.0,0.0,-0.0,0.0
1,-0.000671114401395504,-3.6177346533327034e-05,-3.699797624373777e-05,0.0017925535353390631,-0.002046677523132711,6.999571924599895e-05
2,-0.0011825969449525686,7.564446402485308e-05,-0.00021276712838322995,-0.0014932703768153024,0.0013393461401697171,-0.0008543451886498005
3,-0.00031538120904302496,0.0002761170705339688,-0.000275864685198955,-0.003503969102440957,0.0010389613521452892,-0.004254699002841038
4,-0.00037382343194054867,0.0008682496447140733,-4.612800602886633e-05,-0.002541612323604722,0.0008130235534296833,-0.007428098455399637
5,-0.0005784295163073227,0.0009668495832062101,-0.0003890847677006633,0.0016714319733645967,-0.0029335280928166787,-0.0060957396565164456
6,-0.0007062830947264376,0.001159120436213231,-0.0003806153393902906,-0.005043042313729411,-0.007187264945287452,-0.0033336359902846158
7,-0.0002734909391849849,0.0008833728407675751,-0.00037487451976177515,0.004679816247349849,-0.0006641524634812267,-0.007419105751015859
8,0.0004933193880262587,0.0014265190400019538,-0.0006367282774949911,0.016230310339604075,0.0009694995135379614,-0.0016425876918952417
9,0.004317369419559843,0.0010515007680899423,-0.0004315509843341958,0.015373072018187868,0.00763404409766372,-0.9359503836724697
10,0.005221138487330204,-0.001759572982187308,-0.0006815558163284522,0.014938278307655836,0.0172779763803406,-3.3526675054437765
11,0.005135073419899851,-0.004700554340742938,-0.0006943604243521795,0.007001601631908498,0.009566365673379857,-5.78956369810509
12,0.005586421502853931,-0.00745115226572521,-0.0010946742594167404,0.0047493294502084105,0.017728126626411902,-8.239244598174297
13,0.004974983907273165,-0.01022442146752367,-0.0007482799871827931,-0.021101242555660094,0.020691948482799753,-10.685950397808543
14,0.002738874025529957,-0.012997247846354545,-0.0008846772517620624,-0.03366641601633428,0.026622044010231112,-13.206533447766944
15,-0.00034377535431304174,-0.017250369265828937,-0.0009016935962952294,-0.046433398287058926,0.02238194152325556,-15.699712590612366
16,-5.407625184363185e-05,-0.020014681170675105,-0.0007603603952979709,-0.05859299641530113,0.03064498366878224,-18.205192889425533
17,-0.0023825441548312037,-0.022981918556347437,-0.00036696818256807195,-0.06962656931583734,0.02189614634511539,-20.694270696001784
18,-0.002778767047084599,-0.024956331962252193,-0.00030140467528279736,-0.07731413582736184,0.03401063901246256,-23.23994434696245
19,-0.005083246687657458,-0.02717483577608805,-0.0005739162758854356,-0.07497729453095285,0.02426537566730212,-25.729999896151988
20,-0.005489109026265975,-0.030013491507742896,-0.0002984533592027529,-0.08845842959451079,0.03625276091295676,-28.24771752115506
21,-0.007043239977461632,-0.0321744911295302,-0.0003236861639572067,-0.08892328971592924,0.025460783412047116,-30.727598553557854
22,-0.007588932168635601,-0.03553093319634248,0.00016055561919133958,-0.10007555806164176,0.043813059532410444,-33.237837414817434
23,-0.009578463230009339,-0.03745629419906339,-3.0761591546110326e-05,-0.09733531268135866,0.03460074743096012,-35.68302901386689
24,-0.010576696590845664,-0.039330045310957885,0.0005066389731251845,-0.10613623764038116,0.04852590712680412,-38.20325172969714
25,-0.012776228568280484,-0.04051550287726715,0.0002877127608785273,-0.10963307159541605,0.03936203644339583,-40.67695459799286
26,-0.013402224784291698,-0.042235919455343614,0.0005060304810060737,-0.11360836080451359,0.05151556864434888,-43.20671033156436
27,-0.013757623456513476,-0.04267028344289517,0.00039642937313336915,-0.12085895109946165,0.04721734815419227,-45.710961072420396
28,-0.014030392189312933,-0.04405623051962443,0.0007994049938509413,-0.12671809709770865,0.04755090181992936,-48.25201758930637
29,-0.015849700087789288,-0.043306256757069665,0.0004949477370156973,-0.12632235477171302,0.021797086021162405,-50.73927051310053
30,-0.017953325192980433,-0.046160995543946814,0.0007724392402760872,-0.13032397540787916,0.03297015405454245,-53.29143725605713
31,-0.020347190505642203,-0.04729063582483422,0.0004551979421975546,-0.1265231547444737,-0.004065809924130571,-55.81467139043886
32,-0.02255405545940124,-0.05038610026007734,0.0007557040794501334,-0.12284677350280022,-0.0006555051340167094,-58.337389897348906
33,-0.02512929279319873,-0.05225434642692607,0.0004491426862790743,-0.1256217510763788,-0.023792085587077516,-60.83264959214997
34,-0.028390655278835625,-0.05495650025206616,0.0007854065762706356,-0.12239466913095957,-0.01875540317463342,-63.3929786715153
35,-0.03159802809833526,-0.056752821410404136,3.6046603943116736e-05,-0.12600860647340864,-0.036246610236030714,-65.90295107978677
36,-0.0352236317491219,-0.06033199825252242,0.0005090360049857963,-0.1195212650166408,-0.03158797314270726,-68.49999865729443
37,-0.037645497941803406,-0.06130943496629565,0.0001595995694691477,-0.12512724354731514,-0.05315579546467499,-70.95248645127435
38,-0.039570722263132976,-0.06358821551669065,0.0003560689693946691,-0.11921334747333973,-0.037953438239601664,-73.47442892711796
39,-0.041773020841463976,-0.06486813773378193,-0.00038592356923976203,-0.1273495094231495,-0.05699837515930813,-75.90299623163001
40,-0.044217657659155245,-0.06634465826376384,-0.0004119358064787723,-0.11754572031824109,-0.037851187793449974,-78.3949431239387
41,-0.04668572947630721,-0.06737015091826407,-0.0010381286880435231,-0.1280293775154709,-0.06360207087146347,-80.7940349024887
42,-0.049251703368875216,-0.06777849548001436,-0.0010194584302092547,-0.1205758921103593,-0.061777494493120366,-83.26451711824726
43,-0.052803984519971724,-0.06825989566557501,-0.0013901375138872718,-0.13402463592651018,-0.08142685625879896,-85.64375185418878
44,-0.05577277064472456,-0.06840479778880426,-0.0015270512468900921,-0.12774978026209738,-0.0823566943839017,-88.13869754404054
45,-0.057568634568053695,-0.06634965562338763,-0.0014678974438175338,-0.13814394705035093,-0.09615448907036583,-90.48520906293575
46,-0.05260459460512077,-0.06240874990036145,-0.00115473549394947,-0.13504221719043608,-0.09536335137647098,-89.92171632037574
47,-0.050409406857048186,-0.06271530932482444,-0.0009606165467359698,-0.1375069488590401,-0.09489441294780189,-88.76053876303945
48,-0.049435270662691676,-0.0626419441734403,-0.0011361181665823059,-0.13241568186653352,-0.11885934300053191,-87.5336230578164
49,-0.04804139725842648,-0.062383657742313595,-0.0014821919484650672,-0.1257777493308969,-0.10762065905792927,-86.26699188506656
50,-0.04665808548988546,-0.062472668492997464,-0.0010762341825213322,-0.12475660961086378,-0.0840459476008673,-85.0408235993792
51,-0.046548006320935274,-0.06317020013161095,-0.0009949664567353415,-0.11357694834059982,-0.08257861467762019,-83.87033449595418
52,-0.045165926562518416,-0.06426093227685455,-0.0017238171909030567,-0.11941355275577471,-0.09417447656096098,-82.60829943685441
53,-0.04388268831682501,-0.06404989420480343,-0.0022071940111767236,-0.1170750180165972,-0.09555108525688263,-81.34513484336256
54,-0.04272426724130366,-0.0648779044948363,-0.002107359580704633,-0.1268604328364887,-0.07457490760670277,-80.11564940596269
55,-0.0415721471709349,-0.06486947480927009,-0.0018229160772977064,-0.11373277247592156,-0.06199196168839347,-78.94859113458308
56,-0.040121034210631186,-0.06451488251371715,-0.0022200185082888093,-0.1104746123808523,-0.08875512884494513,-77.72144292314445
57,-0.039380634035615286,-0.06433643738891005,-0.0022440446042113985,-0.11943627493002246,-0.0893193328971004,-76.4591733931326
58,-0.038643158681767174,-0.06399723073135355,-0.0020203369163204576,-0.12395511467318814,-0.05875548217085439,-75.22030465212818
59,-0.03839375345880654,-0.06328818633304656,-0.00218303238883956,-0.11744174759398894,-0.05365032648621077,-74.00917746766832
60,-0.03803706290979189,-0.06255045005938889,-0.0028542289843310623,-0.1139448643350944,-0.06996488543270343,-72.76162026707196
61,-0.036977661831029955,-0.06180409510136214,-0.0031696244286086484,-0.12266117532408506,-0.07777250639616383,-71.48426935865862
62,-0.03572946922676532,-0.061920549863386666,-0.0027803479628817065,-0.12908203699038437,-0.04420703196468853,-70.23649575997871
63,-0.03339445165409551,-0.060582771673727366,-0.002619611413470622,-0.11773484637267477,-0.029084578708040435,-69.02366283740163
64,-0.03163836653812416,-0.0590229568843456,-0.0032083248123311405,-0.11589170340703253,-0.059851308180590396,-67.79928456680219
65,-0.02852061021165789,-0.056341409932184144,-0.0033666969050804253,-0.11853152908465023,-0.06502386693443551,-66.46301517960015
66,-0.02742429740788614,-0.05510807326153479,-0.003051491693066742,-0.12388355805039915,-0.03842540772340826,-65.17397526413401
