frame,x,y,z,roll_deg,pitch_deg,yaw_deg
0,0.0,0.0,0.0,0.0,-0.0,0.0
1,-0.00452561531402506,0.00020532676094076911,7.658579569941979e-06,-0.0004083741189667257,0.002308841446948098,0.0004247906530469036
2,-0.008872872305866638,-0.0001541912349041622,8.05654533405736e-05,-0.00047519695530101884,0.004498473826664721,0.017006303257269654
3,-0.004123374807663493,-0.001046937049154271,9.041932031582672e-05,-0.003989074479214635,0.002609770879835747,0.020396937358807325
4,-0.0057108609809250685,0.0017366572147497282,6.622897097260582e-05,-0.0016397194260210379,0.002829537206679908,0.03242671213003803
5,-0.005720583708459031,0.0014721325107317136,0.00010975511016534113,-0.0020285875940848114,0.0037118747463133635,0.009178373504960178
6,-0.00968344813018422,0.0013238732366839996,0.00014615707736394205,-0.0024280612125332107,0.005791680411850391,0.0032017695512867204
7,-0.005534258036271891,0.003120279876459188,0.0001423321677802096,-0.001290084522382637,0.003910592098822974,0.0025790914040168364
8,-0.0032571770201287728,0.005847290069728518,0.00012855604529414286,0.0018283399881536804,0.00228047765450673,-0.0017711175294463188
9,0.002398003704819034,0.005258150501978245,0.00021011643028563982,0.00016170667177161074,0.0012327565742877274,-0.9119397690505182
10,0.004102542526334773,0.0030304300536897473,4.341001045540642e-05,0.0006249736192099367,0.0008115595094749213,-3.339527974746314
11,0.0039455293509482936,-1.637268838011654e-05,0.00011255105731648157,-0.0031724247643184268,0.0005423522390704283,-5.7785043623905015
12,0.0034523221250077046,-0.0018951780332737398,0.00013923262604246384,-0.005657966102204686,0.0011681237480662674,-8.225315748561098
13,0.00282599796946107,-0.004631877510930754,0.0002639223898700891,-0.010167576900786178,0.0015502790841956963,-10.676743729523103
14,0.0016091494691320752,-0.007473147930769697,0.000406772423336274,-0.014330558329735968,0.001817841812988018,-13.175858301089983
15,-0.002289693545195171,-0.011834148880478412,0.0004731612388196293,-0.016369982793032693,0.00111231830319313,-15.678093715361038
16,-0.002048549240246576,-0.014174951196604798,0.0004481806384180652,-0.01625602291688091,-0.0012189264234610927,-18.19593928388882
