pair_index,source_file,target_file,ransac_init_fitness,ransac_init_rmse,icp_initial_fitness,icp_initial_rmse,icp_final_fitness,icp_final_rmse,status
54-55,pointcloud_0220.pcd,pointcloud_0216.pcd,0.0,-1.0,0.8732699855401777,0.04973886316378809,0.9867795909935964,0.02193447891307555,Success
55-56,pointcloud_0224.pcd,pointcloud_0220.pcd,0.0,-1.0,0.8490663365315176,0.04974435642510293,0.9844217476529454,0.022770489678340323,Success
56-57,pointcloud_0228.pcd,pointcloud_0224.pcd,0.0,-1.0,0.8413023446298761,0.04966462866506999,0.9896590560049146,0.0213607550603501,Success
57-58,pointcloud_0232.pcd,pointcloud_0228.pcd,0.0,-1.0,0.8472364906513252,0.05025002844622519,0.9817135812615574,0.02391738744844988,Success
58-59,pointcloud_0236.pcd,pointcloud_0232.pcd,0.0,-1.0,0.8630612244897959,0.04978919271390932,0.9844897959183674,0.022701948294831863,Success
59-60,pointcloud_0240.pcd,pointcloud_0236.pcd,0.0,-1.0,0.8468085106382979,0.0486662077249157,0.9873353596757852,0.02295633661926103,Success
60-61,pointcloud_0244.pcd,pointcloud_0240.pcd,0.0,-1.0,0.838864006514658,0.04905827918983983,0.9901262214983714,0.022007303782865247,Success
61-62,pointcloud_0248.pcd,pointcloud_0244.pcd,0.0,-1.0,0.846177370030581,0.049646079685219675,0.9864424057084608,0.022088465559526437,Success
62-63,pointcloud_0252.pcd,pointcloud_0248.pcd,0.0,-1.0,0.865152590489709,0.04919193894369306,0.9902666531481293,0.022485637835543155,Success
63-64,pointcloud_0256.pcd,pointcloud_0252.pcd,0.0,-1.0,0.8549027593931372,0.049935497003692625,0.9877812850015273,0.023144173840097898,Success
64-65,pointcloud_0260.pcd,pointcloud_0256.pcd,0.0,-1.0,0.8259721799167428,0.0489873775506958,0.9920804142552544,0.02254214780158621,Success
65-66,pointcloud_0264.pcd,pointcloud_0260.pcd,0.0,-1.0,0.8374041900868676,0.049675559791842065,0.9851814001021972,0.023485614691511662,Success
66-67,pointcloud_0268.pcd,pointcloud_0264.pcd,0.0,-1.0,0.860091977516607,0.049577980724950066,0.9855901890648953,0.02307795197345147,Success
67-68,pointcloud_0272.pcd,pointcloud_0268.pcd,0.0,-1.0,0.8508663366336634,0.049469512722246436,0.9897896039603961,0.02252373007120373,Success
68-69,pointcloud_0276.pcd,pointcloud_0272.pcd,0.0,-1.0,0.8358884658915526,0.0495052829999844,0.9886819631649346,0.022317985379687422,Success
69-70,pointcloud_0280.pcd,pointcloud_0276.pcd,0.0,-1.0,0.8300673606858543,0.04966565643057215,0.9884670340885895,0.023023373625097043,Success
70-71,pointcloud_0284.pcd,pointcloud_0280.pcd,0.0,-1.0,0.8431910569105691,0.04889402141668685,0.9848577235772358,0.02343454900698223,Success
71-72,pointcloud_0288.pcd,pointcloud_0284.pcd,0.0,-1.0,0.8399917839170176,0.04880439004251501,0.9891136900482694,0.023142420248586662,Success
72-73,pointcloud_0292.pcd,pointcloud_0288.pcd,0.0,-1.0,0.8338934718403096,0.049139741945786186,0.9917506874427131,0.022534533750431122,Success
73-74,pointcloud_0296.pcd,pointcloud_0292.pcd,0.0,-1.0,0.8342569786535303,0.04894187739843266,0.9864532019704434,0.021943789718462264,Success
74-75,pointcloud_0300.pcd,pointcloud_0296.pcd,0.0,-1.0,0.8565724815724816,0.049128044281476484,0.9864864864864865,0.022731591409412374,Success
75-76,pointcloud_0304.pcd,pointcloud_0300.pcd,0.0,-1.0,0.8372376026772133,0.04887124110591955,0.9862082953047359,0.022733317241483142,Success
76-77,pointcloud_0308.pcd,pointcloud_0304.pcd,0.0,-1.0,0.8307739245398149,0.049468756710836746,0.9910505440862402,0.022360235073689873,Success
77-78,pointcloud_0312.pcd,pointcloud_0308.pcd,0.0,-1.0,0.8472631258251244,0.04992274260641175,0.986696455773332,0.023266339505023343,Success
78-79,pointcloud_0316.pcd,pointcloud_0312.pcd,0.0,-1.0,0.8604745900804562,0.04905568539525989,0.9866585191974743,0.022314401391533845,Success
79-80,pointcloud_0320.pcd,pointcloud_0316.pcd,0.0,-1.0,0.8457424928013163,0.04909551393667356,0.9886877828054299,0.02191484952589303,Success
80-81,pointcloud_0324.pcd,pointcloud_0320.pcd,0.0,-1.0,0.838451403668795,0.049775110608895556,0.9904732948211209,0.02285137213336176,Success
81-82,pointcloud_0328.pcd,pointcloud_0324.pcd,0.0,-1.0,0.842560553633218,0.049349801648758754,0.9880928149806636,0.021910050330058835,Success
82-83,pointcloud_0332.pcd,pointcloud_0328.pcd,0.0,-1.0,0.8549812125520463,0.04981519602832469,0.985782471818828,0.02313838422362086,Success
83-84,pointcloud_0336.pcd,pointcloud_0332.pcd,0.0,-1.0,0.8449470252648736,0.049247464412524915,0.9853300733496333,0.023136093450034097,Success
84-85,pointcloud_0340.pcd,pointcloud_0336.pcd,0.0,-1.0,0.8366125760649087,0.04943898423915281,0.9886409736308316,0.02188482623735166,Success
85-86,pointcloud_0344.pcd,pointcloud_0340.pcd,0.0,-1.0,0.8349465104431992,0.049294545599367384,0.9876719307182883,0.021791295527408158,Success
86-87,pointcloud_0348.pcd,pointcloud_0344.pcd,0.0,-1.0,0.8561484918793504,0.049690723684696646,0.9820437808937759,0.023324050563558803,Success
87-88,pointcloud_0352.pcd,pointcloud_0348.pcd,0.0,-1.0,0.8544866612772838,0.049637720497652124,0.985751818916734,0.02275224562813715,Success
88-89,pointcloud_0356.pcd,pointcloud_0352.pcd,0.0,-1.0,0.8176100628930818,0.04883994039096189,0.989247311827957,0.022693402620277216,Success
89-90,pointcloud_0360.pcd,pointcloud_0356.pcd,0.0,-1.0,0.8406644109504767,0.0500139122696752,0.9888239516046344,0.022603272624845013,Success
90-91,pointcloud_0364.pcd,pointcloud_0360.pcd,0.0,-1.0,0.8421535637809727,0.04989875119447475,0.9821556031406139,0.02326069248029036,Success
91-92,pointcloud_0368.pcd,pointcloud_0364.pcd,0.0,-1.0,0.8573605608046327,0.04944964319112338,0.9889261404043482,0.023621274954405847,Success
92-93,pointcloud_0372.pcd,pointcloud_0368.pcd,0.0,-1.0,0.8314491264131552,0.04950208106855414,0.9910585817060638,0.02224351174274956,Success
93-94,pointcloud_0376.pcd,pointcloud_0372.pcd,0.0,-1.0,0.8322749722810201,0.04908755999165402,0.9875012599536337,0.022829848577112774,Success
94-95,pointcloud_0380.pcd,pointcloud_0376.pcd,0.0,-1.0,0.8374294923448832,0.04891794457534867,0.9821716357775987,0.024133318785067297,Success
95-96,pointcloud_0384.pcd,pointcloud_0380.pcd,0.0,-1.0,0.845315682281059,0.04876001258906145,0.9875763747454175,0.022904790947349797,Success
96-97,pointcloud_0388.pcd,pointcloud_0384.pcd,0.0,-1.0,0.8347737671581088,0.04994697887871087,0.9886120996441281,0.022971184089535808,Success
97-98,pointcloud_0392.pcd,pointcloud_0388.pcd,0.0,-1.0,0.8327558092132084,0.04884889859723326,0.9866490012229923,0.02125005271387408,Success
98-99,pointcloud_0396.pcd,pointcloud_0392.pcd,0.0,-1.0,0.8379006977449691,0.04986659138100966,0.9823035696228132,0.023562321535452235,Success
